timestamp,latitude,longitude,city,state,country,aqi,main_pollutant,pm25,pm10,temperature,humidity,wind_speed,wind_direction,pressure
2025-03-22 22:00:00+00:00,34.0669,-118.2417,Los Angeles,California,USA,51.0,p2,33.0,51.0,21.0,51.0,5.66,170.0,1013.0
2025-03-22 22:00:00+00:00,35.6895,139.69171,Tokyo,Tokyo,Japan,60.0,p2,20.0,60.0,15.0,45.0,6.17,200.0,1005.0
2025-03-22 21:00:00+00:00,51.5119769825798,-0.12162720332856,City of Westminster,England,United Kingdom,54.0,p2,16.0,54.0,10.0,90.0,2.06,80.0,1002.6
2025-03-22 22:00:00+00:00,19.42847,-99.12766,Mexico City,Mexico City,Mexico,109.0,o3,49.0,109.0,21.0,38.0,6.17,80.0,1013.0
2025-03-22 22:00:00+00:00,-1.2833299999999999,36.81667,Nairobi,Nairobi,Kenya,58.0,p2,19.0,58.0,19.0,73.0,2.06,360.0,1015.0
2025-03-22 23:00:00+00:00,34.0669,-118.2417,Los Angeles,California,USA,48.0,p2,35.0,48.0,20.0,52.0,5.66,180.0,1013.0
2025-03-22 23:00:00+00:00,35.6895,139.69171,Tokyo,Tokyo,Japan,58.0,p2,20.0,58.0,16.0,40.0,6.69,200.0,1005.0
2025-03-22 21:00:00+00:00,51.5119769825798,-0.12162720332856,City of Westminster,England,United Kingdom,54.0,p2,16.0,54.0,10.0,90.0,3.09,70.0,1002.6
2025-03-22 23:00:00+00:00,19.42847,-99.12766,Mexico City,Mexico City,Mexico,109.0,o3,49.0,109.0,21.0,28.0,6.17,50.0,1016.0
2025-03-22 23:00:00+00:00,-1.2833299999999999,36.81667,Nairobi,Nairobi,Kenya,56.0,p2,17.0,56.0,17.0,84.0,4.17,50.0,1015.0
2025-03-22 21:00:00+00:00,-12.07674,-76.99435,San Luis,Lima region,Peru,61.0,p2,21.0,61.0,21.0,73.0,7.2,170.0,1011.0
2025-03-22 23:00:00+00:00,53.333059999999996,-6.24889,Dublin,Leinster,Ireland,32.0,o3,24.0,32.0,6.0,91.0,6.17,330.0,1006.0
2025-03-22 23:00:00+00:00,55.69835738152349,12.553327274871428,Copenhagen,Capital Region,Denmark,32.0,o3,25.0,32.0,6.0,76.0,6.17,80.0,1017.0
2025-03-22 23:00:00+00:00,-6.236704,106.79324,Jakarta,Jakarta,Indonesia,90.0,p2,49.0,90.0,26.0,90.0,1.54,270.0,1010.0
